Nama,Rating,Ulasan,Sentimen,Preprocessed,Positive_Count,Negative_Count
J***l,5,"modelnya keren anti air,bahannya bagus,nyaman di pakai .. 

mantap",Positif,s,0,0
M***M,5,suka sama bungkus tas nya. mungkin bisa buat tempat sesuatu,Positif,s    s             s   s                   s              s s,0,0
Angga,5,"oke banget si ini. tas nya keren mantep banget
untuk harga yg ramah di kantong, worth it banget sih ini
space dalam nya juga muat banyak
cakepp polll",Positif,s         s                                                             w               s       s,0,0
Feri,5,"Tasnya keren banget, bahannya tebal, bahan premium, gak nyesel beli disini, terimakasih terbaikkkk pokoknya 👍",Positif,s                                                           s          s             s                              s,0,0
Muhammad,5,"Bahan & material tebal dan bagus. nyaman dipakai, kapasitas tas besar.",Positif,s                      s   s   s   s,0,0
LINA,4,"jahitan tas pinggang belum didouble silang, jadi mesti jahit lagi. bahan bagus. tas besar ya sesuai deskripsi. abu-abu nya tua. so far saya suka. sesuai harga semoga awet...",Positif,s                            s              s                         s    s   s      s s      s    s                    s      s    s     s s             s          w,0,0
I***l,5,Jahitannya rapi Modelnya keren 😎 Ukuran sesuai Resletingnya lancar Bahannya ringan Muat banyak barang Bahannya kuat Nyaman dipakai Potongannya rapi,Positif,s s      s,0,0
agung,5,"bagus bahannya, semoga awet deh. botol thumbler saya ga masuk ternyata buat di samping tp payung bisa masuk.",Positif,s           s          w                       s            s                    s                   s    s,0,0
Totok,5,"Bagus bahannya, bagus modelnya. lbh dari ekspektasi untuk harga under 2K.",Positif,s               s                      s     s,0,0
A***t,5,Barang nya sesuai gambar keren dan tebel gak bakal nyesel bakal rekomen beli ditempat yang sama lagi lain kali👍👍,Positif,s s                                              s                                    s                       s      s,0,0
h***n,5,"alhamdulillah, bagus. mudah2an awet...",Positif,s            w,0,0
myolala,5,👌👌👌👌👌,Positif,,0,0
Fauzhy,5,"mantap, bahan jahitan, semoga awet.......",Positif,s          w,0,0
M***d,5,pas ukuranya di badan.. sama bisa muat banyak barang sih inii.. mantep🔥,Positif,s                     s      s                     s,0,0
Diki,5,"allguud barang sesuaii, moga moga bakal tahan lama",Positif,s s,0,0
Ridwan,5,"modelnya sesuai pict, bahannya bagus, dalemnya lega. semoga awet yaa, thanks seller 👍🏼👍🏼",Positif,s s                       s                    s          w             s s           s       s,0,0
K***d,5,"Model nya oke.
barang sesuai ekspektasi 
seller nya gercep juga
minggu pesen
senin sampe",Positif,s s      s     s   s                                  s   s     s,0,0
P***a,5,Bahan dan kualitasnya sangat bagus dan rapih. Namun ternyata ukurannya kebesaran disaya haha. Terimakasih seller👍,Positif,s    s             s                                         s       s                  s   s          s,0,0
Munggaran,5,"kompartemen belakang, buat laptop 14 inch cukup , masih bisa bawa barang di kompartemen depannya . kalo saku depannya cuma 1 buat kita yaa cukup ...",Positif,s     s    w                                        s,0,0
Dedi,5,"respon cepat
pengiriman kilat
barang sangat recommended, kwalitas sangat baik...",Positif,s                                  s                       w     s s,0,0
Syaril,5,keren sesuai gambar bagus.. bahan juga bagus,Positif,s s                  s                     s,0,0
alen,5,"Modelnya keren deh, banyak tempat penyimpanannya, anti air, dikemas cukup aman, jahitan so far terlihat kuat, kemarin sudah di coba bawa laptop dan beberapa baju, muat ba...",Positif,s                     s                             s               w,0,0
M,5,"Alhamdulillah brg sampai dgn aman, kualitas bagus, dan terimakasih byk seller nya jaya selalu",Positif,s                       s     s              s       s               s,0,0
I***u,5,"Barang smpe, sesuai pesanan.
Semoga awet smpe tujuan",Positif,s     s s      s      s          w   s,0,0
Fransiskus,5,keren. model bagus. kualitas bagus. pengiriman cepat. diterimadengan baik,Positif,s         s     s,0,0
r***y,5,"model keren, bahan bagus, mewah, top deh.. 😁👌👍",Positif,s    w               s            s,0,0
U***g,5,"Tas, sesuai pesanan dan gambar,
semoga awet, terimakasih.",Positif,s  s s      s                    s          w            s,0,0
I***n,5,"Diluar ekspektasi. Ternyata bahan tasnya ga keliatan murah.

Keren",Positif,s     s                    s,0,0
